LineId,Month,Day,Time,User,Compoent,Content,EventId,EventTemplate,ParameterList
1,Jun,2,09:15:04,localhost,systemd, Stopping Default.,E1,Stopping <*>,[]
2,Jun,2,09:15:04,localhost,systemd, Stopped target Default.,E2,Stopped target <*>,[]
3,Jun,2,09:15:04,localhost,systemd, Stopping Basic System.,E3,<*> Basic System.,[' Stopping']
4,Jun,2,09:15:04,localhost,systemd, Stopped target Basic System.,E4,<*> target Basic System.,[' Stopped']
5,Jun,2,09:15:04,localhost,systemd, Stopping Paths.,E1,Stopping <*>,[]
6,Jun,2,09:15:04,localhost,systemd, Stopped target Paths.,E2,Stopped target <*>,[]
7,Jun,2,09:15:04,localhost,systemd, Stopping Timers.,E1,Stopping <*>,[]
8,Jun,2,09:15:04,localhost,systemd, Stopped target Timers.,E2,Stopped target <*>,[]
9,Jun,2,09:15:04,localhost,systemd, Stopping Sockets.,E1,Stopping <*>,[]
10,Jun,2,09:15:04,localhost,systemd, Stopped target Sockets.,E2,Stopped target <*>,[]
11,Jun,2,09:15:04,localhost,systemd, Starting Shutdown.,E5,Starting <*>,[]
12,Jun,2,09:15:04,localhost,systemd, Reached target Shutdown.,E6,Reached target <*>,[]
13,Jun,2,09:15:04,localhost,systemd, Starting Exit the Session...,E7,Starting Exit the Session...,[]
14,Jun,2,09:15:04,localhost,systemd, Received SIGRTMIN+24 from PID 2994 (kill).,E8,Received <*> from PID <*> <*>,[]
15,Jun,2,09:20:02,localhost,dbus[583], [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service',E9,[system] Activating via systemd: service <*> <*>,[]
16,Jun,2,09:20:02,localhost,dbus[583], [system] Successfully activated service 'net.reactivated.Fprint',E10,[system] Successfully activated service <*>,[]
17,Jun,2,09:20:02,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
18,Jun,2,09:20:02,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
19,Jun,2,09:20:02,localhost,fprintd, ** Message: entering main loop,E13,** Message: entering main loop,[]
20,Jun,2,09:20:32,localhost,fprintd," ** Message: No devices in use, exit",E14,"** Message: No devices in use, exit",[]
21,Jun,2,09:21:49,localhost,dhclient[741], DHCPREQUEST on eno16777984 to 192.168.124.254 port 67 (xid=0xc146ae0),E15,DHCPREQUEST on eno16777984 to <*> port 67 <*>,[]
22,Jun,2,09:21:49,localhost,dhclient[741], DHCPACK from 192.168.124.254 (xid=0xc146ae0),E16,DHCPACK from <*> <*>,[]
23,Jun,2,09:21:49,localhost,NetworkManager[570], <info>  (eno16777984): DHCPv4 state changed renew -> renew,E17,<info> (eno16777984): DHCPv4 state changed <*> -> <*>,"[' <info>', 'renew', '-> renew']"
24,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    address 192.168.124.130,E18,<info> address <*>,"[' <info>', '192.168.124.130']"
25,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    plen 24 (255.255.255.0),E19,<info> plen 24 (<*>),"[' <info>', '255.255.255.0']"
26,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    gateway 192.168.124.2,E20,<info> gateway <*>,"[' <info>', '192.168.124.2']"
27,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    server identifier 192.168.124.254,E21,<info> server identifier <*>,"[' <info>', '192.168.124.254']"
28,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    lease time 1800,E22,<info> lease time 1800,[' <info>']
29,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    nameserver '192.168.124.2',E23,<info> nameserver '<*>',"[' <info>', '192.168.124.2']"
30,Jun,2,09:21:49,localhost,NetworkManager[570], <info>    domain name 'localdomain',E24,<info> domain name 'localdomain',[' <info>']
31,Jun,2,09:21:49,localhost,dhclient[741], bound to 192.168.124.130 -- renewal in 770 seconds.,E25,bound to <*> -- renewal in <*> seconds.,[]
32,Jun,2,09:21:49,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',E9,[system] Activating via systemd: service <*> <*>,[]
33,Jun,2,09:21:49,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E10,[system] Successfully activated service <*>,[]
34,Jun,2,09:21:49,localhost,nm-dispatcher, Dispatching action 'dhcp4-change' for eno16777984,E26,Dispatching action <*> for eno16777984,[]
35,Jun,2,09:26:54,localhost,dnf, cachedir: /var/cache/dnf/x86_64/21,E27,cachedir: /var/cache/dnf/x86_64/21,[]
36,Jun,2,09:26:54,localhost,dnf," Loaded plugins: noroot, protected_packages, download, Query, generate_completion_cache, debuginfo-install, builddep, copr, playground, kickstart",E28,"Loaded plugins: noroot, protected_packages, download, Query, generate_completion_cache, debuginfo-install, builddep, copr, playground, kickstart",[]
37,Jun,2,09:26:54,localhost,dnf, DNF version: 0.6.1,E29,DNF version: 0.6.1,[]
38,Jun,2,09:26:54,localhost,dnf, 为元数据文件生成缓存文件。,E30,为元数据文件生成缓存文件。,[]
39,Jun,2,09:26:54,localhost,dnf, 元数据缓存近期已刷新。,E31,元数据缓存近期已刷新。,[]
40,Jun,2,09:31:09,localhost,systemd, Time has been changed,E32,Time has been changed,[]
41,Jun,2,09:31:38,localhost,dbus[583], [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service',E9,[system] Activating via systemd: service <*> <*>,[]
42,Jun,2,09:31:38,localhost,dbus[583], [system] Successfully activated service 'net.reactivated.Fprint',E10,[system] Successfully activated service <*>,[]
43,Jun,2,09:31:38,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
44,Jun,2,09:31:38,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
