epoch,lr,time,loss
0,3.125e-05,20:20:58,3.302670198938121
1,6.25e-05,20:21:02,3.265323493791663
2,0.000125,20:21:03,3.172891057055929
3,0.00025,20:21:05,2.757231028183647
4,0.0005,20:21:07,1.9707658135372659
5,0.001,20:21:08,1.7532215118408203
6,0.001,20:21:10,1.5726650642312092
7,0.001,20:21:12,1.3429860550424326
8,0.001,20:21:14,1.1091822670853657
9,0.001,20:21:15,0.921766820161239
10,0.001,20:21:17,0.8009868367858555
11,0.001,20:21:19,0.721146796060645
12,0.001,20:21:20,0.668070603971896
13,0.001,20:21:22,0.6292469060939291
14,0.001,20:21:24,0.5989882842354153
15,0.001,20:21:25,0.5707217351250027
16,0.001,20:21:27,0.5421259351398634
17,0.001,20:21:29,0.5153001650519993
18,0.001,20:21:30,0.49373388290405273
19,0.001,20:21:32,0.4753429449122885
20,0.001,20:21:34,0.4646673876306285
21,0.001,20:21:35,0.4526623241279436
22,0.001,20:21:37,0.4407935712648475
23,0.001,20:21:39,0.43077006936073303
24,0.001,20:21:41,0.4235580446927444
25,0.001,20:21:42,0.41614359746808594
26,0.001,20:21:44,0.40871787330378656
27,0.001,20:21:46,0.40262734112532245
28,0.001,20:21:47,0.39565897506216297
29,0.001,20:21:49,0.388928032439688
30,0.001,20:21:51,0.38376354393751727
31,0.001,20:21:52,0.37722261055656103
32,0.001,20:21:54,0.37479547961898474
33,0.001,20:21:56,0.3689315111740776
34,0.001,20:21:57,0.36640092989672784
35,0.001,20:21:59,0.36278579675632977
36,0.001,20:22:01,0.35842097712599713
37,0.001,20:22:03,0.3544887796692226
38,0.001,20:22:04,0.35172032273334003
39,0.001,20:22:06,0.34787745579429297
40,0.001,20:22:08,0.34544287686762604
41,0.001,20:22:09,0.34512993952502374
42,0.001,20:22:11,0.34114503601323004
43,0.001,20:22:13,0.33864185214042664
44,0.001,20:22:14,0.3381661811600561
45,0.001,20:22:16,0.33304210071978363
46,0.001,20:22:18,0.3314871839855028
47,0.001,20:22:19,0.3276993684146715
48,0.001,20:22:21,0.3251758943433347
49,0.001,20:22:23,0.3223345655462016
50,0.001,20:22:25,0.32102086621782056
51,0.001,20:22:26,0.3183050894218942
52,0.001,20:22:28,0.3155371041401573
53,0.001,20:22:30,0.31417274604672973
54,0.001,20:22:31,0.31158723131470056
55,0.001,20:22:33,0.3095389112182286
56,0.001,20:22:35,0.308260687019514
57,0.001,20:22:36,0.30738361892492877
58,0.001,20:22:38,0.3042564340259718
59,0.001,20:22:40,0.3024112193480782
60,0.001,20:22:41,0.2987767354301784
61,0.001,20:22:43,0.29864238526510156
62,0.001,20:22:45,0.29476241961769434
63,0.001,20:22:47,0.2934972630894702
64,0.001,20:22:48,0.2927019531312196
65,0.001,20:22:50,0.2917706577674202
66,0.001,20:22:52,0.2899075280065122
67,0.001,20:22:53,0.286498222662055
68,0.001,20:22:55,0.28684501285138336
69,0.001,20:22:57,0.2841626716696698
70,0.001,20:22:58,0.284234080625617
71,0.001,20:23:00,0.2826098825620568
72,0.001,20:23:02,0.2792436402776967
73,0.001,20:23:03,0.2786698490381241
74,0.001,20:23:05,0.2770640824152076
75,0.001,20:23:07,0.2775497177372808
76,0.001,20:23:09,0.276609375425007
77,0.001,20:23:10,0.2792171466609706
78,0.001,20:23:12,0.2745953532664672
79,0.001,20:23:14,0.2707769171051357
80,0.001,20:23:15,0.2706841956014219
81,0.001,20:23:17,0.2687886208295822
82,0.001,20:23:19,0.26774419844150543
83,0.001,20:23:20,0.26706299768841785
84,0.001,20:23:22,0.26671135166417
85,0.001,20:23:24,0.26505725474461267
86,0.001,20:23:25,0.2641760298739309
87,0.001,20:23:27,0.26286619383355847
88,0.001,20:23:29,0.26190277869286743
89,0.001,20:23:31,0.26180166265238886
90,0.001,20:23:32,0.26038979900919873
91,0.001,20:23:34,0.2590033580427584
92,0.001,20:23:36,0.2582168941912444
93,0.001,20:23:37,0.25678098849628284
94,0.001,20:23:39,0.25663059042847675
95,0.001,20:23:41,0.25540622420932935
96,0.001,20:23:42,0.25404490984004474
97,0.001,20:23:44,0.2548744024141975
98,0.001,20:23:46,0.25316167784773785
99,0.001,20:23:47,0.25282622744207794
100,0.001,20:23:49,0.2509851079920064
101,0.001,20:23:51,0.25089183579320495
102,0.001,20:23:52,0.2492243757714396
103,0.001,20:23:54,0.24872911365135855
104,0.001,20:23:56,0.248986154794693
105,0.001,20:23:58,0.24922725299130316
106,0.001,20:23:59,0.24626344895881155
107,0.001,20:24:01,0.24529972931613092
108,0.001,20:24:03,0.24514717446721118
109,0.001,20:24:04,0.24665483249270398
110,0.001,20:24:06,0.24318398340888644
111,0.001,20:24:08,0.24340342633102252
112,0.001,20:24:09,0.24417584745780282
113,0.001,20:24:11,0.2403785456781802
114,0.001,20:24:13,0.2420524987189666
115,0.001,20:24:15,0.2524029437614524
116,0.001,20:24:16,0.24212886004344278
117,0.001,20:24:18,0.23960467460362808
118,0.001,20:24:20,0.23816138181997382
119,0.001,20:24:21,0.23880754735158838
120,0.001,20:24:23,0.23742768621963004
121,0.001,20:24:25,0.23718914583973263
122,0.001,20:24:26,0.2367292538933132
123,0.001,20:24:28,0.23601333602615024
124,0.001,20:24:30,0.23501406091710794
125,0.001,20:24:31,0.23520716636077219
126,0.001,20:24:33,0.23445679506529932
127,0.001,20:24:35,0.2331861568533856
128,0.001,20:24:37,0.23554975442264392
129,0.001,20:24:38,0.23369961523491403
130,0.001,20:24:40,0.2342926192542781
131,0.001,20:24:42,0.23197572127632474
132,0.001,20:24:44,0.23130202746909598
133,0.001,20:24:45,0.23119627846323926
134,0.001,20:24:47,0.23099405091741812
135,0.001,20:24:49,0.23052816805632217
136,0.001,20:24:51,0.23033743448879407
137,0.001,20:24:52,0.22877217829227448
138,0.001,20:24:54,0.22924449068048727
139,0.001,20:24:56,0.2283591407796611
140,0.001,20:24:57,0.22805578747521277
141,0.001,20:24:59,0.227042555809021
142,0.001,20:25:01,0.22688637803430142
143,0.001,20:25:02,0.2273349016904831
144,0.001,20:25:04,0.2275855988264084
145,0.001,20:25:06,0.22644078472386237
146,0.001,20:25:07,0.22679741810197415
147,0.001,20:25:09,0.225501937062844
148,0.001,20:25:11,0.22572243148865906
149,0.001,20:25:12,0.22489047439202017
150,0.001,20:25:14,0.2243026132168977
151,0.001,20:25:16,0.22358026647049448
152,0.001,20:25:18,0.22393617357896722
153,0.001,20:25:19,0.22421147188414697
154,0.001,20:25:21,0.22342105922491654
155,0.001,20:25:23,0.22356478999490323
156,0.001,20:25:24,0.2223855425482211
157,0.001,20:25:26,0.22212635563767474
158,0.001,20:25:28,0.22211960670740707
159,0.001,20:25:29,0.22158423260502194
160,0.001,20:25:31,0.22121097730553668
161,0.001,20:25:33,0.22179530431394992
162,0.001,20:25:34,0.22189860952937085
163,0.001,20:25:36,0.2200852509426034
164,0.001,20:25:38,0.2203706049400827
165,0.001,20:25:40,0.22009773876356042
166,0.001,20:25:41,0.22183462653471075
167,0.001,20:25:43,0.22077718053175055
168,0.001,20:25:45,0.2198337970868401
169,0.001,20:25:46,0.2190729275993679
170,0.001,20:25:48,0.21813469347746475
171,0.001,20:25:50,0.21786433069602304
172,0.001,20:25:52,0.21860496829385342
173,0.001,20:25:53,0.2177886820357779
174,0.001,20:25:55,0.21743548175562982
175,0.001,20:25:57,0.21645317647768103
176,0.001,20:25:58,0.21835681472135626
177,0.001,20:26:00,0.21682260282661603
178,0.001,20:26:02,0.21746911367644434
179,0.001,20:26:03,0.215676033626432
180,0.001,20:26:05,0.21817186539587768
181,0.001,20:26:07,0.22232926215814508
182,0.001,20:26:09,0.2228692407193391
183,0.001,20:26:10,0.32951634863148566
184,0.001,20:26:12,0.288345270830652
185,0.001,20:26:14,0.2436135048451631
186,0.001,20:26:15,0.23044444814972256
187,0.001,20:26:17,0.22530417144298553
188,0.001,20:26:19,0.22238130543542944
189,0.001,20:26:21,0.22128557316634967
190,0.001,20:26:22,0.21914107060950735
191,0.001,20:26:24,0.218327847511872
192,0.001,20:26:26,0.21744763073713883
193,0.001,20:26:28,0.21609529723291812
194,0.001,20:26:29,0.21660415763440338
195,0.001,20:26:31,0.21563597477000693
196,0.001,20:26:33,0.21496879147446674
197,0.001,20:26:35,0.21478227623130963
198,0.001,20:26:36,0.21472414615361587
199,0.001,20:26:38,0.21420230684073074
200,0.001,20:26:40,0.2137689013843951
201,0.001,20:26:42,0.2136842077193053
202,0.001,20:26:43,0.21266483547894852
203,0.001,20:26:45,0.2125587981680165
204,0.001,20:26:47,0.2127003753962724
205,0.001,20:26:49,0.21263970305090366
206,0.001,20:26:50,0.21219875955063364
207,0.001,20:26:52,0.21195468954418017
208,0.001,20:26:54,0.21195073296194492
209,0.001,20:26:56,0.21197936133198117
210,0.001,20:26:57,0.21102685319340747
211,0.001,20:26:59,0.21134743353594904
212,0.001,20:27:01,0.21050652148930923
213,0.001,20:27:03,0.2108308135167412
214,0.001,20:27:04,0.21005263147146805
215,0.001,20:27:06,0.20996349466883618
216,0.001,20:27:08,0.21020329905592877
217,0.001,20:27:10,0.2107051617425421
218,0.001,20:27:11,0.2102505519338276
219,0.001,20:27:13,0.2093964653170627
220,0.001,20:27:15,0.20919880724471548
221,0.001,20:27:17,0.20968772794889368
222,0.001,20:27:18,0.20943724526011426
223,0.001,20:27:20,0.20867616456487906
224,0.001,20:27:22,0.208686008401539
225,0.001,20:27:24,0.20879646034344382
226,0.001,20:27:25,0.20839542604011038
227,0.001,20:27:27,0.20868268349896307
228,0.001,20:27:29,0.20878369393556015
229,0.001,20:27:31,0.20799813063248343
230,0.001,20:27:32,0.2088337041761564
231,0.001,20:27:34,0.20814235573229584
232,0.001,20:27:36,0.20759516306545422
233,0.001,20:27:38,0.2066202092429866
234,0.001,20:27:40,0.20670026281605597
235,0.001,20:27:41,0.2077902782222499
236,0.001,20:27:43,0.2071439299894416
237,0.001,20:27:45,0.20699904275977093
238,0.001,20:27:47,0.20695990388808044
239,0.001,20:27:48,0.20625474206779315
240,0.001,20:27:50,0.20629826317662778
241,0.001,20:27:52,0.20564233349717181
242,0.001,20:27:54,0.20603897001432336
243,0.001,20:27:55,0.20587366106717483
244,0.001,20:27:57,0.20570653676986694
245,0.001,20:27:59,0.20563445596591287
246,0.001,20:28:01,0.20599297336910083
247,0.001,20:28:02,0.20564143748387045
248,0.001,20:28:04,0.20482201161591904
249,0.001,20:28:06,0.20497585703497348
250,0.001,20:28:08,0.20499220360880313
251,0.001,20:28:09,0.20430892187616098
252,0.001,20:28:11,0.20518038519050763
253,0.001,20:28:13,0.20527085014011548
254,0.001,20:28:15,0.20462954757006271
255,0.001,20:28:16,0.20436211124710416
256,0.001,20:28:18,0.20409164480541064
257,0.001,20:28:20,0.20412440079709757
258,0.001,20:28:22,0.20463147565074588
259,0.001,20:28:23,0.2042471047328866
260,0.001,20:28:25,0.20378583928813104
261,0.001,20:28:27,0.20255858742672464
262,0.001,20:28:29,0.20297659091327502
263,0.001,20:28:30,0.20327872102675232
264,0.001,20:28:32,0.20295600981816
265,0.001,20:28:34,0.20389767055926117
266,0.001,20:28:36,0.2034873560718868
267,0.001,20:28:38,0.2029299865598264
268,0.001,20:28:39,0.20222007515637772
269,0.001,20:28:41,0.2020072315050208
270,0.001,20:28:43,0.2021015156870303
271,0.001,20:28:45,0.20182467737923498
272,0.001,20:28:46,0.2019011183925297
273,0.001,20:28:48,0.20132744312286377
274,0.001,20:28:50,0.20102902080701746
275,0.001,20:28:52,0.2012902038252872
276,0.001,20:28:53,0.20193007134872934
277,0.001,20:28:55,0.20131967443486917
278,0.001,20:28:57,0.20113980770111084
279,0.001,20:28:59,0.20075598747833914
280,0.001,20:29:00,0.20082781820193582
281,0.001,20:29:02,0.20130636510641678
282,0.001,20:29:04,0.20074560590412305
283,0.001,20:29:06,0.20066691092822864
284,0.001,20:29:08,0.20110465391822482
285,0.001,20:29:09,0.20066936184530673
286,0.001,20:29:11,0.19998019285823987
287,0.001,20:29:13,0.2011524885892868
288,0.001,20:29:15,0.2006109622509583
289,0.001,20:29:16,0.20012611280316892
290,0.001,20:29:18,0.19988561648389566
291,0.001,20:29:20,0.20010097260060516
292,0.001,20:29:22,0.1999346963737322
293,0.001,20:29:24,0.19922439365283304
294,0.001,20:29:25,0.19903708087361377
295,0.001,20:29:27,0.20003627564596094
296,0.001,20:29:29,0.19921426475048065
297,0.001,20:29:31,0.1987761589496032
298,0.001,20:29:32,0.19906295252882916
299,0.001,20:29:34,0.19947497222734534
300,0.0001,20:29:36,0.19676304511401965
301,0.0001,20:29:38,0.19521300041157266
302,0.0001,20:29:39,0.19520503865635913
303,0.0001,20:29:41,0.19517799628817517
