label,time,event_id
-,2005-06-03-15.42.50.363779,E189
-,2005-06-03-15.42.50.527847,E189
-,2005-06-03-15.42.50.675872,E189
-,2005-06-03-15.42.50.823719,E189
-,2005-06-03-15.42.50.982731,E189
-,2005-06-03-15.42.51.131467,E189
-,2005-06-03-15.42.51.293532,E189
-,2005-06-03-15.42.51.428563,E189
-,2005-06-03-15.42.51.601412,E189
-,2005-06-03-15.42.51.749199,E189
-,2005-06-03-15.42.51.885834,E189
-,2005-06-03-15.42.52.041388,E189
-,2005-06-03-15.42.52.199063,E189
-,2005-06-03-15.42.52.345821,E189
-,2005-06-03-15.42.52.493353,E189
-,2005-06-03-15.42.52.638135,E189
-,2005-06-03-15.42.52.807927,E189
-,2005-06-03-15.42.52.951717,E189
-,2005-06-03-15.42.53.125780,E189
-,2005-06-03-15.42.53.276129,E189
-,2005-06-03-15.42.53.414979,E189
-,2005-06-03-15.42.53.573391,E189
-,2005-06-03-15.42.53.722611,E189
-,2005-06-03-15.42.53.870042,E189
-,2005-06-03-15.42.54.019446,E189
-,2005-06-03-15.42.54.161937,E189
-,2005-06-03-15.42.54.309788,E189
-,2005-06-03-15.42.54.532078,E189
-,2005-06-03-15.42.54.672029,E189
-,2005-06-03-15.42.54.822857,E189
-,2005-06-03-15.42.54.958702,E189
-,2005-06-03-15.42.55.114809,E189
-,2005-06-03-15.42.55.258578,E189
-,2005-06-03-15.42.55.401336,E189
-,2005-06-03-15.42.55.551171,E189
-,2005-06-03-15.42.55.696784,E189
-,2005-06-03-15.42.55.841735,E189
-,2005-06-03-15.42.55.973893,E189
-,2005-06-03-15.42.56.126048,E189
-,2005-06-03-15.42.56.275900,E189
-,2005-06-03-15.42.56.420533,E189
-,2005-06-03-15.42.56.558188,E189
-,2005-06-03-15.42.56.715625,E189
-,2005-06-03-15.42.56.863230,E189
-,2005-06-03-15.42.57.001213,E189
-,2005-06-03-15.42.57.170578,E189
-,2005-06-03-15.42.57.319602,E189
-,2005-06-03-15.42.57.468068,E189
-,2005-06-03-15.42.57.609155,E189
-,2005-06-03-15.42.57.757117,E189
-,2005-06-03-15.42.57.915514,E189
-,2005-06-03-15.42.58.047957,E189
-,2005-06-03-15.42.58.199532,E189
-,2005-06-03-15.42.58.351645,E189
-,2005-06-03-15.42.58.514875,E189
-,2005-06-03-15.42.58.670503,E189
-,2005-06-03-15.42.58.824652,E189
-,2005-06-03-15.42.58.973175,E189
-,2005-06-03-15.42.59.108201,E189
-,2005-06-03-15.42.59.257767,E189
-,2005-06-03-15.42.59.413771,E189
-,2005-06-03-15.42.59.553525,E189
-,2005-06-03-15.42.59.703464,E189
-,2005-06-03-15.42.59.858422,E189
-,2005-06-03-15.43.00.000708,E189
-,2005-06-03-15.43.00.132832,E189
-,2005-06-03-15.43.00.277471,E189
-,2005-06-03-15.43.00.428176,E189
-,2005-06-03-15.43.00.561919,E189
-,2005-06-03-15.43.00.713415,E189
-,2005-06-03-15.43.00.869117,E189
-,2005-06-03-15.43.01.014845,E189
-,2005-06-03-15.43.01.172337,E189
-,2005-06-03-15.43.01.317488,E189
-,2005-06-03-15.43.01.470239,E189
-,2005-06-03-15.43.01.606902,E189
-,2005-06-03-15.43.01.767944,E189
-,2005-06-03-15.43.01.917819,E189
-,2005-06-03-15.43.02.061263,E189
-,2005-06-03-15.43.02.228021,E189
-,2005-06-03-15.43.02.388730,E189
-,2005-06-03-15.43.02.531785,E189
-,2005-06-03-15.43.02.668455,E189
-,2005-06-03-15.43.02.824641,E189
-,2005-06-03-15.43.03.047861,E189
-,2005-06-03-15.43.03.187724,E189
-,2005-06-03-15.43.03.337692,E189
-,2005-06-03-15.43.03.491411,E189
-,2005-06-03-15.43.03.623873,E189
-,2005-06-03-15.43.03.777169,E189
-,2005-06-03-15.43.03.929861,E189
-,2005-06-03-15.43.04.078487,E189
-,2005-06-03-15.43.04.232717,E189
-,2005-06-03-15.43.04.377243,E189
-,2005-06-03-15.43.04.527398,E189
-,2005-06-03-15.43.04.664188,E189
-,2005-06-03-15.43.04.822434,E189
-,2005-06-03-15.43.05.980712,E189
-,2005-06-03-15.43.06.127403,E189
-,2005-06-03-15.43.06.272340,E189
-,2005-06-03-15.43.06.416043,E189
-,2005-06-03-15.43.06.563633,E189
-,2005-06-03-15.43.06.707568,E189
-,2005-06-03-15.43.06.857763,E189
-,2005-06-03-15.43.08.523246,E189
-,2005-06-03-15.43.08.667599,E189
-,2005-06-03-15.43.08.819478,E189
-,2005-06-03-15.43.08.968087,E189
-,2005-06-03-15.43.09.136802,E189
-,2005-06-03-15.43.09.276780,E189
-,2005-06-03-15.43.09.444998,E189
-,2005-06-03-15.43.11.123636,E189
-,2005-06-03-15.43.11.274810,E189
-,2005-06-03-15.43.11.430190,E189
-,2005-06-03-15.43.11.580569,E189
-,2005-06-03-15.43.11.728393,E189
-,2005-06-03-15.43.12.396745,E189
-,2005-06-03-15.43.12.555962,E189
-,2005-06-03-15.43.12.710237,E189
-,2005-06-03-15.43.14.377218,E189
-,2005-06-03-15.43.14.548730,E189
-,2005-06-03-15.43.14.702679,E189
-,2005-06-03-15.43.14.838635,E189
-,2005-06-03-15.43.14.995922,E189
-,2005-06-03-15.43.15.149710,E189
-,2005-06-03-15.43.15.295444,E189
-,2005-06-03-15.43.15.443924,E189
-,2005-06-03-15.43.17.123192,E189
-,2005-06-03-15.43.17.272642,E189
-,2005-06-03-15.43.17.413225,E189
-,2005-06-03-15.43.17.566152,E189
-,2005-06-03-15.43.17.703345,E189
-,2005-06-03-15.43.17.860930,E189
-,2005-06-03-15.43.18.003131,E189
-,2005-06-03-15.43.18.145840,E189
-,2005-06-03-15.43.19.836965,E189
-,2005-06-03-15.43.19.971735,E189
-,2005-06-03-15.43.20.134374,E189
-,2005-06-03-15.43.20.280044,E189
-,2005-06-03-15.43.20.945577,E189
-,2005-06-03-15.43.21.101872,E189
-,2005-06-03-15.43.21.251163,E189
-,2005-06-03-15.43.21.385972,E189
-,2005-06-03-15.43.21.523068,E189
-,2005-06-03-15.43.23.234268,E189
-,2005-06-03-15.43.23.376264,E189
-,2005-06-03-15.43.23.508622,E189
-,2005-06-03-15.43.23.676765,E189
-,2005-06-03-15.43.23.821208,E189
-,2005-06-03-15.43.23.963587,E189
-,2005-06-03-15.43.24.099948,E189
-,2005-06-03-15.43.24.249724,E189
-,2005-06-03-15.43.24.401635,E189
-,2005-06-03-15.43.26.075526,E189
-,2005-06-03-15.43.26.232007,E189
-,2005-06-03-15.43.26.370848,E189
-,2005-06-03-15.43.26.514593,E189
-,2005-06-03-15.43.26.650692,E189
-,2005-06-03-15.43.26.795845,E189
-,2005-06-03-15.43.26.942532,E189
-,2005-06-03-15.43.27.088218,E189
-,2005-06-03-15.43.27.257242,E189
-,2005-06-03-15.43.28.948656,E189
-,2005-06-03-15.43.29.092839,E189
-,2005-06-03-15.43.29.258241,E189
-,2005-06-03-15.43.29.400159,E189
-,2005-06-03-15.43.29.542992,E189
-,2005-06-03-15.43.29.682447,E189
-,2005-06-03-15.43.29.864605,E189
-,2005-06-03-15.43.30.008754,E189
-,2005-06-03-15.43.31.674778,E189
-,2005-06-03-15.43.31.833012,E189
-,2005-06-03-15.43.31.983769,E189
-,2005-06-03-15.43.32.129084,E189
-,2005-06-03-15.43.32.794543,E189
-,2005-06-03-15.43.32.944258,E189
-,2005-06-03-15.43.33.103653,E189
-,2005-06-03-15.43.33.251169,E189
-,2005-06-03-15.43.34.978903,E189
-,2005-06-03-15.43.35.151121,E189
-,2005-06-03-15.43.35.283745,E189
-,2005-06-03-15.43.35.454223,E189
-,2005-06-03-15.43.35.595507,E189
-,2005-06-03-15.43.36.262863,E189
-,2005-06-03-15.43.36.419517,E189
-,2005-06-03-15.43.36.571249,E189
-,2005-06-03-15.43.38.248148,E189
-,2005-06-03-15.43.38.396600,E189
-,2005-06-03-15.43.38.543516,E189
-,2005-06-03-15.43.38.714249,E189
-,2005-06-03-15.43.38.849173,E189
-,2005-06-03-15.43.39.028314,E189
-,2005-06-03-15.43.39.185367,E189
-,2005-06-03-15.43.39.317778,E189
-,2005-06-03-15.43.41.015557,E189
-,2005-06-03-15.43.41.161461,E189
-,2005-06-03-15.43.41.305300,E189
-,2005-06-03-15.43.41.441143,E189
-,2005-06-03-15.43.41.590565,E189
-,2005-06-03-15.43.41.739318,E189
-,2005-06-03-15.43.41.879089,E189
-,2005-06-03-15.43.42.042890,E189
-,2005-06-03-15.43.43.723907,E189
-,2005-06-03-15.43.43.864303,E189
-,2005-06-03-15.43.44.047820,E189
-,2005-06-03-15.43.44.206272,E189
-,2005-06-03-15.43.44.358368,E189
-,2005-06-03-15.43.44.519525,E189
-,2005-06-03-15.43.44.664340,E189
-,2005-06-03-15.43.44.825933,E189
-,2005-06-03-15.43.46.498887,E189
-,2005-06-03-15.43.46.679896,E189
-,2005-06-03-15.43.46.831291,E189
-,2005-06-03-15.43.46.976449,E189
-,2005-06-03-15.43.47.127092,E189
-,2005-06-03-15.43.47.279761,E189
-,2005-06-03-15.43.47.425940,E189
-,2005-06-03-15.43.47.564546,E189
-,2005-06-03-15.43.49.244183,E189
-,2005-06-03-15.43.49.390014,E189
-,2005-06-03-15.43.49.526187,E189
-,2005-06-03-15.43.49.679757,E189
-,2005-06-03-15.43.49.828335,E189
-,2005-06-03-15.43.49.972187,E189
-,2005-06-03-15.43.50.109596,E189
-,2005-06-03-15.43.50.264050,E189
-,2005-06-03-15.43.50.414930,E189
-,2005-06-03-15.43.50.552213,E189
-,2005-06-03-15.43.50.717830,E189
-,2005-06-03-15.43.56.993722,E189
-,2005-06-03-15.43.57.137667,E189
-,2005-06-03-15.43.57.272717,E189
-,2005-06-03-15.43.57.419881,E189
-,2005-06-03-15.43.57.589084,E189
-,2005-06-03-15.43.57.734848,E189
-,2005-06-03-15.43.57.923421,E189
-,2005-06-03-15.43.58.076643,E189
-,2005-06-03-15.43.58.228142,E189
-,2005-06-03-15.43.58.404541,E189
-,2005-06-03-15.43.58.552201,E189
-,2005-06-03-15.43.58.699932,E189
-,2005-06-03-15.43.58.855756,E189
-,2005-06-03-15.43.59.006940,E189
-,2005-06-03-15.43.59.152359,E189
-,2005-06-03-15.43.59.288781,E189
-,2005-06-03-15.43.59.443301,E189
-,2005-06-03-15.43.59.589104,E189
-,2005-06-03-15.43.59.723691,E189
-,2005-06-03-15.43.59.883520,E189
-,2005-06-03-15.44.00.041215,E189
-,2005-06-03-15.44.00.184283,E189
-,2005-06-03-15.44.00.331077,E189
-,2005-06-03-15.44.00.489647,E189
-,2005-06-03-15.44.00.639566,E189
-,2005-06-03-15.44.00.777055,E189
-,2005-06-03-15.44.00.951349,E189
-,2005-06-03-15.44.01.095037,E189
-,2005-06-03-15.44.01.241676,E189
-,2005-06-03-15.44.01.393874,E189
-,2005-06-03-15.44.01.536913,E189
-,2005-06-03-15.44.01.679163,E189
-,2005-06-03-15.44.01.814245,E189
-,2005-06-03-15.44.02.008708,E189
-,2005-06-03-15.44.02.176980,E189
-,2005-06-03-15.44.02.326506,E189
-,2005-06-03-15.44.02.534055,E189
-,2005-06-03-15.44.02.696824,E189
-,2005-06-03-15.44.02.842876,E189
-,2005-06-03-15.44.03.019339,E189
-,2005-06-03-15.44.03.168266,E189
-,2005-06-03-15.44.03.307974,E189
-,2005-06-03-15.44.03.465949,E189
-,2005-06-03-15.44.03.605285,E189
-,2005-06-03-15.44.03.751360,E189
-,2005-06-03-15.44.03.904208,E189
-,2005-06-03-15.44.04.051257,E189
-,2005-06-03-15.44.04.211204,E189
-,2005-06-03-15.44.04.350415,E189
-,2005-06-03-15.44.04.523576,E189
-,2005-06-03-15.44.04.675042,E189
-,2005-06-03-15.44.04.823914,E189
-,2005-06-03-15.44.04.979417,E189
-,2005-06-03-15.44.05.135973,E189
-,2005-06-03-15.44.05.280459,E189
-,2005-06-03-15.44.05.432289,E189
-,2005-06-03-15.44.05.572050,E189
-,2005-06-03-15.44.05.721639,E189
-,2005-06-03-15.44.05.855124,E189
-,2005-06-03-15.44.06.009920,E189
-,2005-06-03-15.44.06.157878,E189
-,2005-06-03-15.44.06.302594,E189
-,2005-06-03-15.44.06.450834,E189
-,2005-06-03-15.44.06.600270,E189
-,2005-06-03-15.44.06.768223,E189
-,2005-06-03-15.44.06.903443,E189
-,2005-06-03-15.44.07.085045,E189
-,2005-06-03-15.44.07.225874,E189
-,2005-06-03-15.44.07.371726,E189
-,2005-06-03-15.44.07.529849,E189
-,2005-06-03-15.44.07.687554,E189
-,2005-06-03-15.44.07.833287,E189
-,2005-06-03-15.44.07.982363,E189
-,2005-06-03-15.44.08.126628,E189
-,2005-06-03-15.44.08.293806,E189
-,2005-06-03-15.44.08.430364,E189
-,2005-06-03-15.44.08.609370,E189
-,2005-06-03-15.44.08.756203,E189
-,2005-06-03-15.44.08.901746,E189
-,2005-06-03-15.44.09.054719,E189
-,2005-06-03-15.44.09.199775,E189
-,2005-06-03-15.44.09.345477,E189
-,2005-06-03-15.44.09.483932,E189
-,2005-06-03-15.44.09.634841,E189
-,2005-06-03-15.44.09.785466,E189
-,2005-06-03-15.44.09.922586,E189
-,2005-06-03-15.44.10.085664,E189
-,2005-06-03-15.44.10.236615,E189
-,2005-06-03-15.44.10.380973,E189
-,2005-06-03-15.44.10.531377,E189
-,2005-06-03-15.44.10.675004,E189
-,2005-06-03-15.44.10.843593,E189
-,2005-06-03-15.44.10.978814,E189
-,2005-06-03-15.44.11.157265,E189
-,2005-06-03-15.44.11.432261,E189
-,2005-06-03-15.44.11.598380,E189
-,2005-06-03-15.44.11.749097,E189
-,2005-06-03-15.44.11.893448,E189
-,2005-06-03-15.44.12.036663,E189
-,2005-06-03-15.44.12.207914,E189
-,2005-06-03-15.44.12.376573,E189
-,2005-06-03-15.44.12.513550,E189
-,2005-06-03-15.44.12.684410,E189
-,2005-06-03-15.44.12.831491,E189
-,2005-06-03-15.44.12.980595,E189
-,2005-06-03-15.44.13.143321,E189
-,2005-06-03-15.44.13.296598,E189
-,2005-06-03-15.44.13.443593,E189
-,2005-06-03-15.44.13.580456,E189
-,2005-06-03-15.44.13.727504,E189
-,2005-06-03-15.44.13.867889,E189
-,2005-06-03-15.44.14.009852,E189
-,2005-06-03-15.44.14.169102,E189
-,2005-06-03-15.44.14.322800,E189
-,2005-06-03-15.44.14.465851,E189
-,2005-06-03-15.44.14.619662,E189
-,2005-06-03-15.44.14.764153,E189
-,2005-06-03-15.44.14.933936,E189
-,2005-06-03-15.44.15.069699,E189
-,2005-06-03-15.44.15.252488,E189
-,2005-06-03-15.44.15.394233,E189
-,2005-06-03-15.44.15.542993,E189
-,2005-06-03-15.44.15.715074,E189
-,2005-06-03-15.44.15.852059,E189
-,2005-06-03-15.44.15.999855,E189
-,2005-06-03-15.44.16.152061,E189
-,2005-06-03-15.44.16.298221,E189
-,2005-06-03-15.44.16.451211,E189
-,2005-06-03-15.44.16.598560,E189
-,2005-06-03-15.44.16.774826,E189
-,2005-06-03-15.44.16.921721,E189
-,2005-06-03-15.44.17.071574,E189
-,2005-06-03-15.44.17.225536,E189
-,2005-06-03-15.44.17.379243,E189
-,2005-06-03-15.44.17.524013,E189
-,2005-06-03-15.44.17.657890,E189
-,2005-06-03-15.44.17.811599,E189
-,2005-06-03-15.44.17.956728,E189
-,2005-06-03-15.44.18.098369,E189
-,2005-06-03-15.44.18.259472,E189
-,2005-06-03-15.44.18.401366,E189
-,2005-06-03-15.44.18.545226,E189
-,2005-06-03-15.44.18.692150,E189
-,2005-06-03-15.44.18.843836,E189
-,2005-06-03-15.44.18.993078,E189
-,2005-06-03-15.44.19.129738,E189
-,2005-06-03-15.44.19.289408,E189
-,2005-06-03-15.44.19.434907,E189
-,2005-06-03-15.44.19.582535,E189
-,2005-06-03-15.44.19.722946,E189
-,2005-06-03-15.44.19.870276,E189
-,2005-06-03-15.44.20.042326,E189
-,2005-06-03-15.44.20.181717,E189
-,2005-06-03-15.44.20.354683,E189
-,2005-06-03-15.44.20.504614,E189
-,2005-06-03-15.44.20.659960,E189
-,2005-06-03-15.44.20.817750,E189
-,2005-06-03-15.44.20.968071,E189
-,2005-06-03-15.44.21.119843,E189
-,2005-06-03-15.44.21.265549,E189
-,2005-06-03-15.44.21.412343,E189
-,2005-06-03-15.44.21.572246,E189
-,2005-06-03-15.44.21.710082,E189
-,2005-06-03-15.44.21.884016,E189
-,2005-06-03-15.44.22.028405,E189
-,2005-06-03-15.44.22.175032,E189
-,2005-06-03-15.44.22.335988,E189
